"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	101.05814749109	0.177459576038899	0.684834728311844	0.259127594881683	0.795536794127945	1
"Cdc45"	6.32777945525764	-1.59131657926374	2.46502763402959	-0.645557298139663	0.518566099503139	1
"H19"	3.50334706551646	2.17758984070776	3.0446661822643	0.715214644348399	0.474476421426409	1
"Scml2"	1.16740604650999	-1.91537946185517	11.3644625760615	-0.168541138574366	0.866157582628592	1
"Narf"	55.274820707855	0.280425109154557	0.86453300686427	0.324365995199746	0.74566096108048	1
"Cav2"	85.9618848527167	0.143901928991824	0.809794748247277	0.177701731584807	0.858957225285938	1
"Klf6"	1063.64715192023	-0.00909277097440179	0.34159807901899	-0.0266183316970477	0.978764151859876	1
"Scmh1"	43.1686138585148	0.798936814655138	0.814822631360647	0.980503957433065	0.326837417130465	1
"Cox5a"	353.061676050893	0.517667322605728	0.429589265693105	1.20502853294185	0.228192287113803	1
"Tbx2"	4.14280634587402	-2.33128199561648	3.56509191704515	-0.653919183533623	0.513163873992067	1
"Tbx4"	1.2374051485786	0.699773302276285	7.54995415332736	0.0926857684252143	0.926153203489377	1
"Ngfr"	15.8360907314678	0.050205907846597	1.1823811751794	0.0424616941647259	0.966130647820893	1
"Wnt3"	11.9788094013897	-2.3135585917207	1.13984936614665	-2.02970555621912	0.0423864777948867	1
"Wnt9a"	4.3716305479228	1.52234486708752	3.13806390556915	0.485122327937872	0.627589574559824	1
"Fer"	31.9211795458344	3.04812679176481	1.08116052423106	2.81931010562256	0.004812699780884	0.884196204460192
"Xpo6"	47.3247275478099	0.146222562712751	0.747651220127087	0.195575903277328	0.844942122427576	1
"Tfe3"	78.1360443809802	-0.579396980689401	0.799053156812927	-0.725104426093955	0.468387969289374	1
"Axin2"	30.4963466527589	-0.229448452855675	1.09934412139039	-0.208713948973031	0.834671550246058	1
"Brat1"	18.0608209062936	-1.83821031737167	1.6014490266118	-1.14784191493174	0.251033830449576	1
"Gna12"	111.210285709847	0.282750471505918	0.509788005429635	0.554643240904862	0.579138706236562	1
"Slc22a18"	2.0492411389879	-5.25714465684953	4.98035762936588	-1.05557573332718	0.291162092425595	1
"Itgb2l"	0.839361327935133	0	11.4805037308773	0	1	1
"Igsf5"	2.90910783474356	3.48790233639197	3.88832002500036	0.897020387716582	0.369708038098114	1
"Pih1d2"	9.73102655474771	-0.914596380292122	1.89489459799515	-0.482663458569037	0.629334713067415	1
"Dlat"	59.0213347518307	-0.328048557512179	0.76547107624488	-0.428557743973116	0.668245102480154	1
"Sdhd"	21.0597811736205	-0.33159874862098	1.66912699857329	-0.198665978625004	0.842524038630193	1
"Ccnd2"	504.833975912543	-0.01181107538189	0.533694578736244	-0.0221307763887313	0.98234363647586	1
"Gpr107"	94.6579653244961	0.452135531533187	0.549250075972971	0.823187016828811	0.410401650843413	1
"Nalcn"	12.0871485264538	0.708740311663682	1.68268395621381	0.42119633282676	0.673611721979554	1
"Btbd17"	84.5484995087122	0.501499787824653	0.745792312556736	0.672438934246191	0.501304303497322	1
"Slfn4"	0.59544691637507	0.546056681661015	11.4805037308521	0.0475638259838348	0.962063862065521	1
"Th"	1.26712098739282	-4.45524593032861	11.3972916704133	-0.390903914646158	0.695868260282899	1
"Ins2"	2.53694909335963	2.60865849431751	3.9667414240411	0.657632604562349	0.510774238429159	1
"Drp2"	13.1282495152695	-2.21534366529616	1.55273692794077	-1.42673470658944	0.153656377732327	1
"Tspan32"	7.77200762259597	-3.82501106865129	2.02643066449035	-1.88756079133518	0.059084937966364	1
"Lhx2"	25.1737300085177	-1.16977261238816	1.1344195404017	-1.03116401889018	0.302463910622934	1
"Clec2g"	0.0602968331616222	0	11.4805037308773	0	1	1
"Gmpr"	41.4064996823285	-0.148147355045555	0.97775640953947	-0.151517651636089	0.879567387593479	1
"Glra1"	0.441946215204725	0.18202250485384	11.3761069435617	0.0160004213881669	0.987234055519354	1
"Mid2"	4.40652186737277	-0.503447064018849	2.92934702368299	-0.171863237762072	0.863545048509946	1
"Trim25"	66.9662609840001	-1.25789998289206	0.583047668071981	-2.15745650274476	0.030970112795379	1
"Dgke"	27.7576927421695	1.09135608914941	1.1377024931344	0.959263160391514	0.337426189127459	1
"Scpep1"	76.2666963335954	-0.168679528425788	0.675216078519541	-0.249815627607136	0.802729933771293	1
"Mnt"	67.5053249432948	-1.11208361930935	0.661122717587726	-1.68211375849717	0.0925467829424059	1
"Itgb2"	268.845891767717	1.89422011482076	0.746632304479657	2.53701869508697	0.0111800983551439	1
"Hddc2"	18.4575848217221	-0.207775729410693	1.29972215966023	-0.159861650327643	0.872990058540568	1
"Tpd52l1"	34.8845055221542	-0.0357025148109438	0.824175193568989	-0.0433190844489489	0.965447178310946	1
"Pemt"	0.744126622568519	-4.76483480742485	11.4017288235363	-0.417904589836315	0.676016876591886	1
"Cdh1"	38.3630530109848	0.597299314434314	0.969492281609413	0.616094966163901	0.537831844204691	1
"Cdh4"	14.0523882516516	2.03595525918504	1.52006175622329	1.33938983126812	0.180443798059582	1
"Ckmt1"	3.84428142840336	0.574402061059033	3.42606420717631	0.167656537158842	0.866853490422571	1
"Bcl6b"	11.0814607255036	-0.452689631307004	1.43938220922196	-0.314502727911095	0.753139244928213	1
"Clec10a"	38.4388169868373	2.18908707368722	1.78677263689625	1.22516263596347	0.220513949246373	1
"Alox12"	7.34426221465431	-1.50363459159383	2.08621505330351	-0.720747647378363	0.471064791102299	1
"Arvcf"	40.8299799264912	-0.195773184603497	0.769367378142621	-0.254459950038596	0.799140241198236	1
"Comt"	146.325688555534	-0.489527977095046	0.515028304666298	-0.950487522063911	0.341864591191766	1
"Rtca"	52.4437134677779	0.567276563094265	0.860612706630886	0.659154296379182	0.509796692128492	1
"Dbt"	164.780116035276	-0.200910791860552	0.560639980236231	-0.358359729849976	0.720074124055045	1
"Dazap2"	730.120167501067	-0.00108511071016635	0.356030987329104	-0.00304779850289636	0.997568212394945	1
"Mcts1"	128.229730004422	0.877465481151662	0.43041940221203	2.03862901310246	0.0414870673561552	1
"Rem1"	2.1212534498722	0	5.95712551453886	0	1	1
"Rnf17"	1.85194250065768	0	5.19617274102979	0	1	1
"Trappc10"	140.032107264149	-0.339131248852837	0.490743536722095	-0.691055966051133	0.489530371024718	1
"Ccm2"	72.4679449852256	-0.921426377818032	0.592903556247594	-1.55409150123776	0.120162592153653	1
"Tbrg4"	24.7405956950928	-0.827395311047842	1.0843135531671	-0.763059088057285	0.445428157670465	1
"Tmprss2"	0.490682463610432	0	11.4805037308773	0	1	1
"Mx1"	6.52560547458157	-0.8746846590954	2.82284953551078	-0.309858760834424	0.756668364413122	1
"Fap"	8.58575425697757	0.497937488496928	2.06401170509158	0.241247415055156	0.8093633639937	1
"Ndufa9"	63.2900757394217	-0.399623546202129	0.659645809032166	-0.605815334123714	0.544637386038057	1
"Egfl6"	4.33066339531176	5.55288248466376	3.70165412462229	1.50010841038001	0.133586322717412	1
"Lck"	4.70185001023627	0.235475793542268	2.3863438229546	0.0986763899138047	0.921395215477163	1
"Tssk3"	0.0831169302933357	0	11.4805037308773	0	1	1
