geneSymbol	ensemblGeneId	trLength
0610005C13Rik	ENSMUSG00000109644	865.818181818182
0610006L08Rik	ENSMUSG00000108652	1196
0610009B22Rik	ENSMUSG00000007777	852.5
0610009E02Rik	ENSMUSG00000086714	915
0610009L18Rik	ENSMUSG00000043644	619
0610010F05Rik	ENSMUSG00000042208	2672.75
0610010K14Rik	ENSMUSG00000020831	652.357142857143
0610012D04Rik	ENSMUSG00000089755	531
0610012G03Rik	ENSMUSG00000107002	1445
0610025J13Rik	ENSMUSG00000046683	690.666666666667
0610030E20Rik	ENSMUSG00000058706	2914
0610030E20Rik	ENSMUSG00000108680	2914
0610031O16Rik	ENSMUSG00000099146	836.75
0610033M10Rik	ENSMUSG00000108236	804
0610038B21Rik	ENSMUSG00000097882	1605.5
0610039K10Rik	ENSMUSG00000058812	951.5
0610040B10Rik	ENSMUSG00000089889	914.666666666667
0610040F04Rik	ENSMUSG00000087341	1139
0610040J01Rik	ENSMUSG00000060512	1060.25
0610043K17Rik	ENSMUSG00000087361	493
0710001A04Rik	ENSMUSG00000114511	1345
1010001B22Rik	ENSMUSG00000097863	589
1100001I12Rik	ENSMUSG00000115547	672
1100001I12Rik	ENSMUSG00000116281	672
1110002E22Rik	ENSMUSG00000090066	5103
1110002J07Rik	ENSMUSG00000097134	1308.5
1110002L01Rik	ENSMUSG00000071456	1756.5
1110002O04Rik	ENSMUSG00000102531	566
1110003F10Rik	ENSMUSG00000106291	767
1110004F10Rik	ENSMUSG00000030663	1103.83333333333
1110006O24Rik	ENSMUSG00000107121	768
1110008E08Rik	ENSMUSG00000046119	722
1110008P14Rik	ENSMUSG00000039195	1649
1110012L19Rik	ENSMUSG00000045237	1094
1110013H19Rik	ENSMUSG00000116164	671
1110015O18Rik	ENSMUSG00000098659	857.333333333333
1110017D15Rik	ENSMUSG00000028441	695.625
1110018N20Rik	ENSMUSG00000085151	986
1110019B22Rik	ENSMUSG00000112289	762
1110019D14Rik	ENSMUSG00000097616	951
1110020A21Rik	ENSMUSG00000097047	626
1110025L11Rik	ENSMUSG00000068073	591
1110025M09Rik	ENSMUSG00000103520	855
1110028F11Rik	ENSMUSG00000085972	610
1110028F18Rik	ENSMUSG00000099139	1341
1110032A03Rik	ENSMUSG00000037971	1056.11111111111
1110032F04Rik	ENSMUSG00000046999	2578
1110035H17Rik	ENSMUSG00000099098	1236
